name,owner,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,url,description
realworld,gothinkster,82253,3465,433,0,0,TypeScript,542,503,92.80442804428044,https://github.com/gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more"
animate.css,animate-css,82065,5064,315,22,0,CSS,882,841,95.3514739229025,https://github.com/animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
laravel,laravel,81903,5190,1641,198,0,Blade,0,0,0,https://github.com/laravel/laravel,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things."
FreeDomain,DigitalPlatDev,81386,450,0,0,0,HTML,0,0,0,https://github.com/DigitalPlatDev/FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone
mall,macrozheng,81364,2698,1,3,0,Java,497,487,97.98792756539235,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
core,home-assistant,80869,4358,75796,1000,0,Python,62505,60156,96.24190064794817,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.
FiraCode,tonsky,79949,3937,137,29,0,Clojure,1364,954,69.94134897360705,https://github.com/tonsky/FiraCode,Free monospaced font with programming ligatures
manim,3b1b,79914,3806,642,13,0,Python,1212,761,62.788778877887786,https://github.com/3b1b/manim,Animation engine for explanatory math videos
bun,oven-sh,79879,1592,5984,196,0,Zig,13114,8321,63.451273448223276,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one"
system-prompts-and-models-of-ai-tools,x1xhlol,78470,171,26,0,0,Unknown,104,56,53.84615384615385,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"FULL v0, Cursor, Manus, Augment Code, Same.dev, Lovable, Devin, Replit Agent, Windsurf Agent, VSCode Agent, Dia Browser, Xcode, Trae AI, Cluely & Orchids.app (And other Open Sourced) System Prompts, Tools & AI Models."
spring-boot,spring-projects,78179,4691,42,320,0,Java,39291,38736,98.58746277773535,https://github.com/spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss."
advanced-java,doocs,78136,2513,88,1,0,Java,147,146,99.31972789115646,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
devops-exercises,bregman-arie,78025,2150,302,0,0,Python,99,64,64.64646464646465,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
models,tensorflow,77619,3487,2341,50,0,Python,7312,6236,85.28446389496717,https://github.com/tensorflow/models,Models and examples built with TensorFlow
awesome-for-beginners,MunGell,76863,3590,453,0,0,Unknown,186,175,94.08602150537635,https://github.com/MunGell/awesome-for-beginners,A list of awesome beginners-friendly projects.
ML-For-Beginners,microsoft,76788,1634,377,0,0,HTML,147,141,95.91836734693877,https://github.com/microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all"
awesome-interview-questions,DopplerHQ,76659,3556,175,0,0,Unknown,61,34,55.73770491803278,https://github.com/DopplerHQ/awesome-interview-questions,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: 
gpt4all,nomic-ai,76533,879,934,38,0,C++,2188,1488,68.00731261425959,https://github.com/nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
LeetCodeAnimation,MisterBooo,76408,2452,63,0,0,Java,62,42,67.74193548387096,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
playwright,microsoft,76289,2107,15071,151,0,TypeScript,16315,15481,94.88813974869753,https://github.com/microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. "
netdata,netdata,75638,4449,10934,121,0,C,8118,7951,97.94284306479429,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams."
